artist,artist_id,album,track,minutes,release_date,popularity
Beatles,3WrFJ7ztbogyGnTHbHJFl2,Let It Be... Naked (Remastered),Dig A Pony - Naked Version / Remastered 2013,3.635466666666667,N/A,0
Beatles,3WrFJ7ztbogyGnTHbHJFl2,Let It Be... Naked (Remastered),For You Blue - Naked Version / Remastered 2013,2.4634666666666667,N/A,0
Beatles,3WrFJ7ztbogyGnTHbHJFl2,Let It Be... Naked (Remastered),The Long And Winding Road - Naked Version / Remastered 2013,3.5730333333333335,N/A,0
Beatles,3WrFJ7ztbogyGnTHbHJFl2,Let It Be... Naked (Remastered),Two Of Us - Naked Version / Remastered 2013,3.34725,N/A,0
Beatles,3WrFJ7ztbogyGnTHbHJFl2,Let It Be... Naked (Remastered),I've Got A Feeling - Naked Version / Remastered 2013,3.5150333333333332,N/A,0
Beatles,3WrFJ7ztbogyGnTHbHJFl2,Let It Be... Naked (Remastered),One After 909 - Naked Version / Remastered 2013,2.7350333333333334,N/A,0
Beatles,3WrFJ7ztbogyGnTHbHJFl2,Let It Be... Naked (Remastered),Don't Let Me Down - Naked Version / Remastered 2013,3.3143666666666665,N/A,0
Beatles,3WrFJ7ztbogyGnTHbHJFl2,Let It Be... Naked (Remastered),I Me Mine - Naked Version / Remastered 2013,2.3577,N/A,0
Beatles,3WrFJ7ztbogyGnTHbHJFl2,Let It Be... Naked (Remastered),Across The Universe - Naked Version / Remastered 2013,3.637033333333333,N/A,0
Beatles,3WrFJ7ztbogyGnTHbHJFl2,Let It Be... Naked (Remastered),Let It Be - Naked Version / Remastered 2013,3.923033333333333,N/A,0
Beatles,3WrFJ7ztbogyGnTHbHJFl2,On Air - Live At The BBC (Vol.2),"And Here We Are Again - Live At The BBC For ""Pop Go The Beatles"" / 23rd July, 1963",0.2571333333333333,N/A,0
Beatles,3WrFJ7ztbogyGnTHbHJFl2,On Air - Live At The BBC (Vol.2),"Words Of Love - Live At The BBC For ""Pop Go The Beatles"" / 20th August, 1963",1.9291,N/A,0
Beatles,3WrFJ7ztbogyGnTHbHJFl2,On Air - Live At The BBC (Vol.2),"How About It, Gorgeous? - Live At The BBC For ""Pop Go The Beatles"" / 30th July, 1963",0.6211,N/A,0
Beatles,3WrFJ7ztbogyGnTHbHJFl2,On Air - Live At The BBC (Vol.2),"Do You Want To Know A Secret - Live At The BBC For ""Pop Go The Beatles"" / 30th July, 1963",1.792,N/A,0
Beatles,3WrFJ7ztbogyGnTHbHJFl2,On Air - Live At The BBC (Vol.2),"Lucille - Live At The BBC For ""Pop Go The Beatles"" / 17th September, 1963",2.48,N/A,0
Beatles,3WrFJ7ztbogyGnTHbHJFl2,On Air - Live At The BBC (Vol.2),"Hey Paul…. - Live At The BBC For ""Pop Go The Beatles"" / 25th June, 1963",0.3511,N/A,0
Beatles,3WrFJ7ztbogyGnTHbHJFl2,On Air - Live At The BBC (Vol.2),"Anna (Go To Him) - Live At The BBC For ""Pop Go The Beatles"" / 27th August, 1963",2.826,N/A,0
Beatles,3WrFJ7ztbogyGnTHbHJFl2,On Air - Live At The BBC (Vol.2),"Hello! - Live At The BBC For ""Pop Go The Beatles"" / 25th June, 1963",0.31466666666666665,N/A,0
Beatles,3WrFJ7ztbogyGnTHbHJFl2,On Air - Live At The BBC (Vol.2),"Please Please Me - Live At The BBC For ""Pop Go The Beatles"" / 13th August, 1963",1.924,N/A,0
Beatles,3WrFJ7ztbogyGnTHbHJFl2,On Air - Live At The BBC (Vol.2),"Misery - Live At The BBC For ""Here We Go"" / 12th March, 1963",1.8262166666666666,N/A,0
Beatles,3WrFJ7ztbogyGnTHbHJFl2,On Air - Live At The BBC (Vol.2),"I'm Talking About You - Live At The BBC For ""Saturday Club"" / 16th March, 1963",1.8688833333333332,N/A,0
Beatles,3WrFJ7ztbogyGnTHbHJFl2,On Air - Live At The BBC (Vol.2),"A Real Treat - Live At The BBC For ""Pop Go The Beatles"" / 25th June, 1963",0.612,N/A,0
Beatles,3WrFJ7ztbogyGnTHbHJFl2,On Air - Live At The BBC (Vol.2),"Boys - Live At The BBC For ""Pop Go The Beatles"" / 25th June, 1963",2.47955,N/A,0
Beatles,3WrFJ7ztbogyGnTHbHJFl2,On Air - Live At The BBC (Vol.2),"Absolutely Fab - Live At The BBC For ""Pop Go The Beatles"" / 25th June, 1963",0.45643333333333336,N/A,0
